"ID","field","original","derived","reason"
243,"tol1","3",,"Restore raw nonresponse; stored orientation retained"
30,"word2","0",,"Zero encodes missing descriptive word"
31,"word2","0",,"Zero encodes missing descriptive word"
33,"word2","0",,"Zero encodes missing descriptive word"
50,"word2","0",,"Zero encodes missing descriptive word"
71,"word2","0",,"Zero encodes missing descriptive word"
75,"word2","0",,"Zero encodes missing descriptive word"
76,"word2","0",,"Zero encodes missing descriptive word"
77,"word2","0",,"Zero encodes missing descriptive word"
80,"word2","0",,"Zero encodes missing descriptive word"
114,"word2","0",,"Zero encodes missing descriptive word"
121,"word2","0",,"Zero encodes missing descriptive word"
143,"word2","0",,"Zero encodes missing descriptive word"
148,"word2","0",,"Zero encodes missing descriptive word"
155,"word2","0",,"Zero encodes missing descriptive word"
156,"word2","0",,"Zero encodes missing descriptive word"
157,"word2","0",,"Zero encodes missing descriptive word"
179,"word2","0",,"Zero encodes missing descriptive word"
184,"word2","0",,"Zero encodes missing descriptive word"
230,"word2","0",,"Zero encodes missing descriptive word"
232,"word2","0",,"Zero encodes missing descriptive word"
268,"word2","0",,"Zero encodes missing descriptive word"
270,"word2","0",,"Zero encodes missing descriptive word"
271,"word2","0",,"Zero encodes missing descriptive word"
273,"word2","0",,"Zero encodes missing descriptive word"
275,"word2","0",,"Zero encodes missing descriptive word"
402,"word2","0",,"Zero encodes missing descriptive word"
469,"word2","0",,"Zero encodes missing descriptive word"
476,"word2","0",,"Zero encodes missing descriptive word"
513,"word2","0",,"Zero encodes missing descriptive word"
518,"word2","0",,"Zero encodes missing descriptive word"
519,"word2","0",,"Zero encodes missing descriptive word"
521,"word2","0",,"Zero encodes missing descriptive word"
522,"word2","0",,"Zero encodes missing descriptive word"
524,"word2","0",,"Zero encodes missing descriptive word"
527,"word2","0",,"Zero encodes missing descriptive word"
528,"word2","0",,"Zero encodes missing descriptive word"
529,"word2","0",,"Zero encodes missing descriptive word"
566,"word2","0",,"Zero encodes missing descriptive word"
567,"word2","0",,"Zero encodes missing descriptive word"
583,"word2","0",,"Zero encodes missing descriptive word"
585,"word2","0",,"Zero encodes missing descriptive word"
586,"word2","0",,"Zero encodes missing descriptive word"
587,"word2","0",,"Zero encodes missing descriptive word"
636,"word2","0",,"Zero encodes missing descriptive word"
637,"word2","0",,"Zero encodes missing descriptive word"
3,"word3","0",,"Zero encodes missing descriptive word"
5,"word3","0",,"Zero encodes missing descriptive word"
6,"word3","0",,"Zero encodes missing descriptive word"
11,"word3","0",,"Zero encodes missing descriptive word"
12,"word3","0",,"Zero encodes missing descriptive word"
15,"word3","0",,"Zero encodes missing descriptive word"
19,"word3","0",,"Zero encodes missing descriptive word"
30,"word3","0",,"Zero encodes missing descriptive word"
31,"word3","0",,"Zero encodes missing descriptive word"
32,"word3","0",,"Zero encodes missing descriptive word"
33,"word3","0",,"Zero encodes missing descriptive word"
34,"word3","0",,"Zero encodes missing descriptive word"
40,"word3","0",,"Zero encodes missing descriptive word"
42,"word3","0",,"Zero encodes missing descriptive word"
43,"word3","0",,"Zero encodes missing descriptive word"
44,"word3","0",,"Zero encodes missing descriptive word"
47,"word3","0",,"Zero encodes missing descriptive word"
48,"word3","0",,"Zero encodes missing descriptive word"
50,"word3","0",,"Zero encodes missing descriptive word"
59,"word3","0",,"Zero encodes missing descriptive word"
60,"word3","0",,"Zero encodes missing descriptive word"
63,"word3","0",,"Zero encodes missing descriptive word"
67,"word3","0",,"Zero encodes missing descriptive word"
68,"word3","0",,"Zero encodes missing descriptive word"
69,"word3","0",,"Zero encodes missing descriptive word"
71,"word3","0",,"Zero encodes missing descriptive word"
75,"word3","0",,"Zero encodes missing descriptive word"
76,"word3","0",,"Zero encodes missing descriptive word"
77,"word3","0",,"Zero encodes missing descriptive word"
80,"word3","0",,"Zero encodes missing descriptive word"
81,"word3","0",,"Zero encodes missing descriptive word"
84,"word3","0",,"Zero encodes missing descriptive word"
85,"word3","0",,"Zero encodes missing descriptive word"
86,"word3","0",,"Zero encodes missing descriptive word"
87,"word3","0",,"Zero encodes missing descriptive word"
89,"word3","0",,"Zero encodes missing descriptive word"
90,"word3","0",,"Zero encodes missing descriptive word"
91,"word3","0",,"Zero encodes missing descriptive word"
92,"word3","0",,"Zero encodes missing descriptive word"
95,"word3","0",,"Zero encodes missing descriptive word"
96,"word3","0",,"Zero encodes missing descriptive word"
97,"word3","0",,"Zero encodes missing descriptive word"
99,"word3","0",,"Zero encodes missing descriptive word"
100,"word3","0",,"Zero encodes missing descriptive word"
114,"word3","0",,"Zero encodes missing descriptive word"
116,"word3","0",,"Zero encodes missing descriptive word"
120,"word3","0",,"Zero encodes missing descriptive word"
121,"word3","0",,"Zero encodes missing descriptive word"
123,"word3","0",,"Zero encodes missing descriptive word"
124,"word3","0",,"Zero encodes missing descriptive word"
125,"word3","0",,"Zero encodes missing descriptive word"
128,"word3","0",,"Zero encodes missing descriptive word"
133,"word3","0",,"Zero encodes missing descriptive word"
135,"word3","0",,"Zero encodes missing descriptive word"
139,"word3","0",,"Zero encodes missing descriptive word"
140,"word3","0",,"Zero encodes missing descriptive word"
142,"word3","0",,"Zero encodes missing descriptive word"
143,"word3","0",,"Zero encodes missing descriptive word"
144,"word3","0",,"Zero encodes missing descriptive word"
145,"word3","0",,"Zero encodes missing descriptive word"
146,"word3","0",,"Zero encodes missing descriptive word"
148,"word3","0",,"Zero encodes missing descriptive word"
150,"word3","0",,"Zero encodes missing descriptive word"
152,"word3","0",,"Zero encodes missing descriptive word"
153,"word3","0",,"Zero encodes missing descriptive word"
