"variable","unweighted","weighted"
"countyQingchuan",-0.744046474281667,-0.33348727187519
"np",0.4232080025013,0.14654584989226
"age",-0.0768298854833013,-0.0433303795798952
"gender",0.0896183641579362,0.0739543739348981
"education2",-0.101591431531018,-0.047479816376969
"education3",0.0256832566292406,0.0413996350340956
"education4",0.0777934898586726,0.0257729059664291
"education5",0.0388636118370544,0.0658541408736263
"household_size",-0.0867999938320302,-0.0678000913289397
"log_income",0.0260270534936995,0.0722892374338543
"agri_share",0.244720849402186,0.0984382057635201
"log_area",0.314888272826432,0.175759953489236
"log_livestock",0.491198563411009,0.143903288229622
"log_assets",0.344125601409944,0.0891966734469731
