"variable","smd"
"np",0.424133211177086
"age",-0.077553063273817
"gender",0.0876343126706129
"household_size",-0.0840650168092764
"income",0.0876439432866
"agri_share",0.246806280455835
"area",0.196471232050285
"livestock",0.375048207982781
"assets",0.246541985465095
"damage",0.0945636008764168
"loss",-0.0350078654448343
"benefit",-0.326711191338195
"ic1",0.186595274266743
"info_count",-0.00285743043696249
"minimum_ratio",-0.0513794907087001
"desired_ratio",0.06490509275222
"insurance_wtp",0.220981470313606
"timeliness",
"satisfaction",
"tol1",-0.429530669113656
"tol2",-0.310177155492479
"tol3",0.215288014806997
"tol4",0.0316531694789599
"word1",-0.022705021209119
"word2",-0.0234051779233361
"word3",-0.0902144683392574
"word_count",-0.165612976601221
"word_mean",-0.0328800402740541
"ic",0.0998047823029373
"conflict_wb",0.368107415635422
"conflict_all",0.540327520105145
"report_1",0.888105988400037
"report_2",-0.333577575923223
"report_3",0.450493922919982
"report_4",0.149093528275234
"report_count",0.699125001420551
"minimum_ratio_original",-0.102017274569205
"desired_ratio_original",0.0988322887904098
"prevention_A",0.199692682001146
"prevention_cost_1",-0.02155861968347
"prevention_B",0.142715391048923
"prevention_cost_2",-0.00406713317123637
"prevention_C",0.237253831316987
"prevention_cost_3",
"prevention_D",0.00876770561558185
"prevention_cost_4",
"prevention_E",0.153490934851572
"prevention_cost_5",-0.632455532033676
"prevention_F",-0.040218308311103
"prevention_cost_6",
"prevention_G",0.101940733507282
"prevention_cost_7",
"prevention_n",0.399926836455043
"prevention_used",0.372952932476971
"prevention_eff",-0.095975335383265
"prevention_eff0",0.206344359115212
"log_income",0.0266751354257599
"log_area",0.311646110622308
"log_livestock",0.48813263835662
"log_assets",0.344879520385681
"log_damage",0.27310916473776
"log_loss",0.231820745676883
"tolerance3",-0.250294649948339
"tolerance4",-0.113184751347432
"damage_share",0.088789374228581
"loss_income_share",-0.00822187717595368
