"word","n"
"讨厌",250
"害怕",94
"吃庄稼",83
"可恶",46
"凶猛",33
"厌恶",32
"糟蹋庄稼",30
"可怕",25
"烦",25
"吓人",19
"凶",18
"危险",17
"糟蹋粮食",14
"可恨",11
"糟蹋人",11
"恨",10
"想猎杀",10
"破坏庄稼",10
"该死",10
"愤恨",9
"该杀",9
"影响生活",8
"憎恨",8
"赶不走",8
"太多了",7
"打了才行",7
"打死",7
"非常讨厌",7
"吃粮食",6
"杀死",6
"没办法",6
"祸害",6
"保护动物",5
"害人",5
"恨他",5
"泛滥成灾",5
"狡猾",5
"该打",5
"赶走",5
"不好",4
"伤人",4
"到处都是",4
"印象不好",4
"坏的很",4
"害怕伤人",4
"很讨厌",4
"恐怖",4
"担心",4
"捕杀",4
"有威胁",4
"有攻击性",4
"没好处",4
"烦人",4
"猎杀",4
"痛恨",4
"繁殖快",4
"贪吃",4
"不好打",3
"不敢打",3
"不该保护",3
"到处跑",3
"危害",3
"危害大",3
"影响大",3
"心头烦",3
"怕伤人",3
"恨的很",3
"打了最好",3
"打了更好",3
"打死最好",3
"捕杀最好",3
"损害粮食",3
"整死",3
"毁坏庄稼",3
"毁庄稼",3
"没有优点",3
"没有好印象",3
"要打",3
"要杀",3
"该打了",3
"非常可恶",3
"不伤害庄稼最好",2
"不伤害庄稼就行",2
"不受欢迎",2
"不吃庄稼最好",2
"不喜欢",2
"不安全",2
"仇恨",2
"会攻击人",2
"伤害人",2
"最讨厌",2
"凶狠",2
"到处吃",2
"吃庄稼凶",2
"吃玉米",2
"和家猪差不多",2
"地都不敢种",2
"坏",2
"坏东西",2
"处置",2
"威胁安全",2
"害虫",2
"对人危害大",2
"巨大",2
"应该灭绝",2
"弄死",2
"怕",2
"恨它",2
"恶心",2
"想打死",2
"想捕杀",2
"拦不住",2
"拱地",2
"捕杀了",2
"损坏庄稼",2
"捣乱",2
"提心吊胆",2
"整人",2
"整庄稼",2
"无奈",2
"有害",2
"有害无利",2
"没优点",2
"没必要存在",2
"没有好处",2
"没见过",2
"消灭",2
"灰色的",2
"狠心",2
"獠牙很长",2
"生气",2
"祸害庄稼",2
"种庄稼不容易都被吃了",2
"要打死",2
"讨厌的很",2
"赶走就行",2
"越来越多",2
"野蛮",2
"防不住",2
"除掉",2
"难缠",2
"难防",2
"非常坏",2
"食用",2
"驱赶",2
"*赶了就行",1
"一个大灾害",1
"一串串的",1
"一喊就跑",1
"一团糟",1
"一定要打",1
"一定要打了",1
"一年生很多个",1
"一年白干",1
"一直吃",1
"一窝就10多条",1
"一群一群的",1
"一群一群的出现",1
"下地就不好",1
"不一样他来",1
"不伤人就还好",1
"不伤害人就行",1
"不伤害庄稼就没事",1
"不允许出现",1
"不准整",1
"不危害庄稼最好",1
"不可控",1
"不可能不吃庄稼",1
"不吃就行",1
"不吃庄稼，就能接受",1
"不吃庄稼就不伤害",1
"不吃庄稼就最好",1
"不吃庄稼就无所谓",1
"不吃庄稼就没关系",1
"不吃庄稼就行",1
"不吃庄稼无所谓",1
"不吃粮食就可以",1
"不咋看到，但是吃庄稼",1
"不在这里出现",1
"不好对付",1
"不好整",1
"不好防治",1
"不希望存在",1
"不希望有野猪",1
"不应该保护",1
"不应该存在",1
"不弄死就止不住",1
"不影响我们就行",1
"不待见",1
"不怎么怕人",1
"不怕人了",1
"不怕野猪",1
"不想野猪出现在周围",1
"不惹他他不来",1
"不惹它它也不惹你",1
"不惹它就没事",1
"不打扰就可以",1
"不损坏老百姓利益就没关系",1
"不接受",1
"不放心",1
"不敢上山",1
"不敢去捡菌子了",1
"不敢惹",1
"不敢种庄稼",1
"不整庄稼就好",1
"不是好东西",1
"不是非常讨厌",1
"不欢迎",1
"不毁坏粮食，可以和平相处",1
"不破坏庄稼最好",1
"不破坏庄稼就还好",1
"不破坏庄稼的话无所谓",1
"不种地了",1
"不算讨厌",1
"不能保护",1
"不能打",1
"不能整",1
"不能糟蹋庄稼",1
"不要伤害地",1
"不要伤害庄稼",1
"不要保护了",1
"不要弄庄稼",1
"不要影响庄稼",1
"不要影响我们了",1
"不要影响生活",1
"不要有野猪",1
"不讨人喜欢",1
"不逗他也不过来",1
"东拱西拱",1
"也是个生命",1
"乱吃",1
"互不干涉",1
"人不安全",1
"什么都吃，不吃的毁掉",1
"从自己小时候一直都有",1
"他也要生存",1
"会伤人",1
"会坏庄稼",1
"伤害农民",1
"伤害大",1
"伤害庄稼",1
"伤害百姓",1
"伤害粮食",1
"伤心",1
"但是是野生动物",1
"保护动物不能打",1
"保护动物没办法",1
"兄弟",1
"全部杀掉",1
"全部粮食都吃了",1
"全部该杀",1
"全部该死",1
"冒火",1
"最好捕杀了",1
"最好是捕杀了",1
"最好杀了",1
"最好没有",1
"最好离人远点",1
"农民莫法生存",1
"农民要生活",1
"减少数量",1
"几百斤",1
"凶得很",1
"凶残",1
"凶的很",1
"凶神恶煞",1
"出来的比较多",1
"到处吃庄稼",1
"到处拱",1
"印象很差",1
"危害安全",1
"危害庄稼",1
"危害很大，什么粮食都吃",1
"危险很",1
"厉害",1
"压庄稼",1
"受害",1
"只会吃",1
"只能驱赶",1
"叫声和家猪很像",1
"可恨至极",1
"可恶的很",1
"可能会伤人",1
"叼羊娃子",1
"吃小牛",1
"吃小羊",1
"吃庄稼不好",1
"吃庄稼吃很多",1
"吃庄稼多",1
"吃庄稼很凶",1
"吃庄稼很烦",1
"吃庄稼非常厌恶",1
"吃的一根毛都不剩",1
"吃的太多了",1
"吃粮食很讨厌",1
"各种威胁都有",1
"后续配套措施",1
"吓人的很",1
"听到人说害怕",1
"听到都害怕",1
"听天由命",1
"听说有人被攻击",1
"嘴巴很长",1
"嘴巴很长毛立起",1
"嘴巴长",1
"回去森林里面",1
"国家想办法弄死",1
"国家把野猪不吃百姓粮食",1
"地全部给我糟蹋了",1
"地里没收成",1
"坏庄稼",1
"坚决赶走",1
"基本上晚上出现见不着",1
"基本上没见过",1
"处理完最好",1
"多",1
"多大一个500多斤",1
"多的很",1
"多的时候厌烦",1
"大",1
"大野猪长的吓人",1
"太凶",1
"太厉害",1
"太可恨了",1
"太恨了",1
"太烦人",1
"失去种庄稼信心",1
"女孩小孩害怕",1
"好害怕",1
"好讨厌",1
"如果不吃庄稼无所谓",1
"存在就不好",1
"孩子看到跑快点",1
"安全隐患",1
"害怕会伤人",1
"害怕会攻击人",1
"害怕伤到小孩",1
"害怕威力大",1
"害怕攻击人",1
"害怕进入农户伤人",1
"害物",1
"富有破坏性",1
"对人无益",1
"对人有危害",1
"对人类没意义",1
"对农民损失大",1
"对它没办法",1
"对庄稼不好",1
"对庄稼危害大",1
"对庄稼有破坏",1
"对庄稼的损害",1
"对生态平衡保险了一下",1
"对生活影响大",1
"对百姓伤害大",1
"对百姓伤害很大",1
"对百姓生活危害很大",1
"对老板姓没好处",1
"小孩女生都害怕",1
"小孩妇女会害怕",1
"少保留一点也可以",1
"少的话无所谓",1
"就应该打",1
"就是要打了才行",1
"山上白天都有",1
"希望不要吃庄稼",1
"希望不要吃粮食",1
"希望国家想办法",1
"希望控制",1
"希望政府控制野猪",1
"希望政府消灭",1
"希望整死",1
"希望没得野猪",1
"希望没有野猪",1
"希望灭绝",1
"希望都消灭",1
"希望野猪不要存在",1
"平衡",1
"庄稼不受损就无所谓",1
"庄稼吃完咯",1
"庄稼没法种",1
"庄稼被吃完了",1
"庄稼都不够它吃",1
"庄稼都吃完了",1
"庄稼都咬断完",1
"庄稼都被吃了",1
"建议打死",1
"弄不死就一直来",1
"弄乱地",1
"弄死好",1
"影响人",1
"影响安全",1
"影响种地",1
"很不好",1
"很危险",1
"很多",1
"很大一只",1
"很害怕要咬人",1
"很心疼庄稼",1
"很恐惧",1
"很恨这种动物",1
"很烦",1
"心寒",1
"心惊胆战",1
"必须死",1
"怕人",1
"恐惧",1
"恨不得打死",1
"恨之入骨",1
"恨他糟蹋粮食",1
"恼火",1
"情愿打死，撵走还要来",1
"想互部门协助",1
"想到就生气",1
"想打他",1
"想整死",1
"想猎杀一部分",1
"想直接整死",1
"惹不起",1
"惹人嫌",1
"愤恨，随时都看到",1
"打不到",1
"打不过",1
"打了也可以",1
"打了最后",1
"打了才好",1
"打了比较好",1
"打扰生活",1
"打死为好",1
"打死他",1
"把庄稼吃完",1
"把猪往死里治",1
"抓了就行",1
"担忧损坏庄稼",1
"拱庄稼",1
"拿他没法",1
"拿它没办法",1
"挑好的粮食吃，人都没吃到",1
"捕杀了最好",1
"捕杀了好",1
"捕杀了比较好",1
"捕杀完",1
"捕猎队捕不到",1
"损坏庄稼很严重",1
"损失",1
"损失粮食",1
"损害利益",1
"损害大",1
"损害庄稼",1
"控制数量",1
"搞不赢",1
"搞破坏",1
"撵不走",1
"支持捕猎",1
"支持补杀",1
"收拾野猪",1
"攻击",1
"攻击人",1
"攻击人力量大",1
"攻击强",1
"攻击性",1
"攻击行为",1
"政府不管",1
"政府出面打猎野猪",1
"政府管控",1
"政府要把野猪打了",1
"政府要控制",1
"数量多",1
"数量多了看到害怕",1
"整不赢",1
"整死他",1
"整粮食",1
"无所谓",1
"无法共存",1
"无法禁止",1
"无用",1
"晚上吓人",1
"有些地方可以圈一下",1
"有压力",1
"有害动物",1
"有害的",1
"有影响",1
"有心里负担",1
"有点害怕",1
"有点讨厌",1
"有生命安全",1
"杀了",1
"杀了最好",1
"杀了好",1
"杀了才醒",1
"杀了灭了",1
"杀完",1
"杀掉",1
"杀绝",1
"枪打",1
"死了才好",1
"死绝最好",1
"毁农民作物",1
"毁坏田地",1
"毁坏茶叶",1
"毁庄稼的行为感到憎恨",1
"每天都来",1
"每年都来",1
"毛很长",1
"毛是花色的",1
"毛立着牙齿也长",1
"毛立着的",1
"毛长牙齿也长",1
"毫无作用",1
"气得哭",1
"气愤",1
"没什么概念",1
"没办法与野猪共同生存",1
"没办法捕杀",1
"没啥好的",1
"没啥感觉",1
"没得好印象",1
"没得存在的必要",1
"没收入",1
"没有工具抓",1
"没有收成",1
"没有枪",1
"没有枪杀不死",1
"没有特别害怕",1
"没有用",1
"没有益处",1
"没有直观感受",1
"没有野猪就好",1
"没法做庄稼",1
"没法打",1
"没见过只吃粮食",1
"泛滥",1
"消灭不完",1
"消灭了",1
"溜光",1
"灭掉",1
"灰黑灰黑的",1
"烦得很",1
"烦躁",1
"爱整庄稼",1
"牙齿多长",1
"牙齿很长容易伤人",1
"牙齿长",1
"特别坏",1
"特别多",1
"狩猎",1
"猎杀他",1
"猛",1
"现在太多了",1
"生得多",1
"生态平衡",1
"生活有很大影响",1
"生的多",1
"生的太多了",1
"痛恨的很",1
"痛恨至极",1
"白天看不到",1
"百姓做粮食恼火",1
"看不到他",1
"看到会吓一跳",1
"看到会害怕",1
"看到害怕",1
"看到就是恨",1
"看到还是还是",1
"看到野猪就跑",1
"看着吓人",1
"看着害怕",1
"看着小野猪还是乖，大野猪就很吓人",1
"看着很凶",1
"看着还是恐怖",1
"看起很凶",1
"看起来很凶",1
"真讨厌",1
"眼睛红彤彤的",1
"破坏",1
"破坏庄稼太凶",1
"破坏性强",1
"确实坏",1
"禁止在市场上流通",1
"离远点",1
"种不出庄稼",1
"种地辛苦",1
"种地辛苦都糟蹋了",1
"种庄稼辛苦都被吃了",1
"种点庄稼都被吃了",1
"简直该死",1
"管不了",1
"粮食整完了",1
"精灵",1
"糟糕庄稼",1
"糟蹋",1
"糟蹋东西",1
"糟蹋庄家",1
"组织捕杀",1
"繁殖太快",1
"繁殖期不要捕杀",1
"繁衍很快",1
"老百姓不容易",1
"老百姓对他没有办法",1
"聪明",1
"肥料钱种子钱都浪费了",1
"能打就打",1
"能杀就杀",1
"自己无法猎杀",1
"自然控制，科学管理",1
"莫吃庄稼",1
"莫得最好",1
"莫法种地",1
"虽然在吃粮食这几年没见过",1
"要把它打了",1
"要拱地",1
"要控制",1
"要控制数量",1
"要整死",1
"要杀了才行",1
"要根除",1
"要求捕杀",1
"要消灭",1
"要消灭了",1
"要生存",1
"见人就跑",1
"见什么吃什么",1
"见到就放狗",1
"讨厌野猪吃庄稼",1
"让庄稼有收成",1
"让猎狗把他咬了",1
"该打死",1
"该捕杀",1
"该杀了吃肉",1
"该杀但是不能杀",1
"该消灭",1
"赶不起走",1
"赶走也行",1
"赶走又会回来",1
"赶走才行",1
"赶跑",1
"越少越好",1
"跑得快",1
"跑的快，喊就会跑",1
"辛苦种庄稼都被毁完了",1
"辛辛苦苦一年",1
"还是凶",1
"还要传染疾病",1
"这个保护动物没得用",1
"进行捕杀最好",1
"造成损失",1
"遇到还是害怕",1
"都跑到坝上了",1
"野兽",1
"野猪一叫就走",1
"野猪感觉到人也就跑了",1
"野猪撇的很",1
"野猪毛很长",1
"野猪要伤人",1
"铲草除根",1
"长得丑",1
"长的可怕",1
"长相恐怖",1
"除掉就行",1
"随时防备",1
"难对付",1
"需要解决",1
"非常不好",1
"非常凶",1
"非常恨",1
"非常气人",1
"颗粒无收的",1
"鬼子进村",1
"鲁莽",1
"麻烦",1
"黄黑黄黑的，脊毛立着",1
"黑黢黢的",1
