"grouping","group","variable","n","mean","median","sd"
"county","Baoxing","ID",160,100.4,103,58.3895183149904
"county","Qingchuan","ID",465,434.12688172043,433,139.625758371497
"county","Baoxing","application",160,0.74375,1,0.43793217647824
"county","Qingchuan","application",465,0.339784946236559,0,0.47414618929674
"county","Baoxing","np",160,0.55,1,0.499055712093935
"county","Qingchuan","np",465,0.0365591397849462,0,0.187878896612584
"county","Baoxing","age",160,60.3375,60,10.4652089078182
"county","Qingchuan","age",465,58.9397849462366,59,10.2669449904249
"county","Baoxing","gender",160,0.61875,1,0.487218714205128
"county","Qingchuan","gender",465,0.72258064516129,1,0.448207404715523
"county","Baoxing","household_size",160,3.46875,3,1.78717258513458
"county","Qingchuan","household_size",465,3.50967741935484,3,1.58807955183575
"county","Baoxing","income",160,29707.55625,15800,41341.787100505
"county","Qingchuan","income",465,29534.623655914,22000,22670.8005919708
"county","Baoxing","agri_share",160,0.4583125,0.3,0.45049828718987
"county","Qingchuan","agri_share",465,0.236559139784946,0.1,0.303868359314296
"county","Baoxing","area",160,9.736875,7.5,8.88901959825936
"county","Qingchuan","area",465,9.57139784946237,6,12.0037754110693
"county","Baoxing","livestock",160,37.225,21,51.3597436757647
"county","Qingchuan","livestock",465,8.25806451612903,0,20.8334441969612
"county","Baoxing","assets",160,227343.2058625,29918.695,453856.961646081
"county","Qingchuan","assets",465,46792.0911182796,7541.94,152564.624801497
"county","Baoxing","damage",160,2.1965625,2,2.47160046609352
"county","Qingchuan","damage",465,2.77903225806452,1.5,4.9127381192873
"county","Baoxing","loss",160,3751.125,1450,8998.2570630626
"county","Qingchuan","loss",465,3799.65591397849,1500,24349.8076708995
"county","Baoxing","benefit",160,1.7125,1,0.920674486142612
"county","Qingchuan","benefit",465,2.47956989247312,2,1.05460393977134
"county","Baoxing","ic1",160,4.59375,5,0.49267432186119
"county","Qingchuan","ic1",465,4.70967741935484,5,0.520705861301105
"county","Baoxing","info_count",160,0.45625,0,0.622905294799545
"county","Qingchuan","info_count",465,1.43655913978495,2,0.886170683216479
"county","Baoxing","minimum_ratio",156,0.541474358974359,0.5,0.229284453525787
"county","Qingchuan","minimum_ratio",460,0.610304347826087,0.5,0.232302847707364
"county","Baoxing","desired_ratio",158,0.717405063291139,0.8,0.335620312428088
"county","Qingchuan","desired_ratio",463,0.730259179265659,0.8,0.282069381790923
"county","Baoxing","insurance_wtp",160,356.94375,100,1286.21063176638
"county","Qingchuan","insurance_wtp",465,66.5795698924731,50,98.0182628997452
"county","Baoxing","timeliness",118,1.24576271186441,1,0.521936576000324
"county","Qingchuan","timeliness",157,1.6687898089172,1,0.811681817095325
"county","Baoxing","satisfaction",119,1.23529411764706,1,0.532118923131789
"county","Qingchuan","satisfaction",157,1.4140127388535,1,0.689152080153772
"county","Baoxing","tol1",160,1.7875,2,0.755587155585333
"county","Qingchuan","tol1",464,2.16379310344828,2,0.639842927772241
"county","Baoxing","tol2",160,1.7,2,0.698605979408571
"county","Qingchuan","tol2",465,1.84731182795699,2,0.619648015674726
"county","Baoxing","tol3",160,3.25625,4,1.1059977993086
"county","Qingchuan","tol3",465,2.65376344086022,2,0.911204103402251
"county","Baoxing","tol4",160,2.74375,3,1.2551622962538
"county","Qingchuan","tol4",465,2.23655913978495,2,1.04012028339529
"county","Baoxing","word1",160,3.69375,4,0.793026802468846
"county","Qingchuan","word1",465,3.75698924731183,4,0.95990726130974
"county","Baoxing","word2",142,3.57042253521127,3,0.688279665696995
"county","Qingchuan","word2",438,3.63013698630137,4,0.879570042380186
"county","Baoxing","word3",71,3.57746478873239,4,0.804664470109586
"county","Qingchuan","word3",399,3.55639097744361,4,0.84246766486943
"county","Baoxing","word_count",160,2.33125,2,0.670322132266487
"county","Qingchuan","word_count",465,2.8,3,0.526045756499408
"county","Baoxing","word_mean",160,3.634375,3.66666666666667,0.602955936437991
"county","Qingchuan","word_mean",465,3.65913978494624,3.66666666666667,0.58548717786711
"county","Baoxing","ic",160,-0.0992362039469044,-0.24336425789199,0.718396124276183
"county","Qingchuan","ic",465,0.0341457906053867,0.321970710020053,0.7768000115554
"county","Baoxing","conflict_wb",160,3.440625,3.5,0.579041375977865
"county","Qingchuan","conflict_wb",465,3.27634408602151,3.25,0.516411242136362
"county","Baoxing","conflict_all",160,3.04791666666667,3,0.519160310859534
"county","Qingchuan","conflict_all",465,2.39139784946237,2.33333333333333,0.51854735634388
"county","Baoxing","report_1",159,0.622641509433962,1,0.486257280483309
"county","Qingchuan","report_1",464,0.0366379310344828,0,0.188073989233971
"county","Baoxing","report_2",159,0.433962264150943,0,0.497185774906649
"county","Qingchuan","report_2",464,0.963362068965517,1,0.188073989233971
"county","Baoxing","report_3",159,0.327044025157233,0,0.470615747286278
"county","Qingchuan","report_3",464,0.0344827586206897,0,0.182662548469958
"county","Baoxing","report_4",159,0.0377358490566038,0,0.191158773322345
"county","Qingchuan","report_4",464,0,0,0
"county","Baoxing","report_count",159,1.42138364779874,1,0.814299790833306
"county","Qingchuan","report_count",464,1.03448275862069,1,0.333345745902305
"county","Baoxing","minimum_ratio_original",160,0.671875,0.5,0.858114202351138
"county","Qingchuan","minimum_ratio_original",465,0.663956989247312,0.5,0.578189279538867
