"variable","n","missing","mean","sd","min","q25","median","q75","max"
"ID",625,0,348.6928,191.342444632519,1,191,349,513,674
"application",625,0,0.4432,0.497161171823817,0,0,0,1,1
"np",625,0,0.168,0.374165738677394,0,0,0,0,1
"age",625,0,59.2976,10.327695401574,24,52,59,67,86
"gender",625,0,0.696,0.460351036626482,0,0,1,1,1
"household_size",625,0,3.4992,1.63997029366466,1,2,3,5,10
"income",625,0,29578.8944,28595.2414141532,0,10000,20000,40000,3e+05
"agri_share",625,0,0.293328,0.360213784812895,0,0.05,0.1,0.5,1
"area",625,0,9.61376,11.2819803044387,0.2,4,6,12,100
"livestock",625,0,15.6736,33.984569801829,0,0,2,16,255
"assets",625,0,93013.1764928,275705.371609595,76.704,3187.86,11470.36,52527.82,3087729.16
"damage",625,0,2.62992,4.42355392422347,0,1,1.5,3,50
"loss",625,0,3787.232,21482.9235464995,0,700,1500,3000,503300
"benefit",625,0,2.2832,1.07482377804278,1,1,2,3,5
"ic1",625,0,4.68,0.515776735638242,2,4,5,5,5
"info_count",625,0,1.1856,0.930665601351238,0,0,1,2,5
"minimum_ratio",616,9,0.592873376623377,0.233287617321911,0,0.5,0.5,0.8,1
"desired_ratio",621,4,0.726988727858293,0.296382133786051,0,0.6,0.8,1,1
"insurance_wtp",625,0,140.9128,666.907868422695,0,10,60,100,15000
"timeliness",275,350,1.48727272727273,0.73172492574342,1,1,1,2,3
"satisfaction",276,349,1.33695652173913,0.631486107176803,1,1,1,1.25,3
"tol1",624,1,2.06730769230769,0.69065427946615,1,2,2,2,5
"tol2",625,0,1.8096,0.64343628776302,1,1,2,2,5
"tol3",625,0,2.808,0.999166319154791,1,2,2,4,5
"tol4",625,0,2.3664,1.12024951433106,1,1,2,3,5
"word1",625,0,3.7408,0.919874573389889,1,3,4,4,5
"word2",580,45,3.61551724137931,0.836619095484004,1,3,4,4,5
"word3",470,155,3.55957446808511,0.836063365261664,1,3,4,4,5
"word_count",625,0,2.68,0.601813498668389,1,3,3,3,3
"word_mean",625,0,3.6528,0.589620936706668,1,3.33333333333333,3.66666666666667,4,5
"ic",625,0,2.10764565522492e-16,0.76393325675966,-3.31285758551284,-0.364773501922308,0.180636968042042,0.604638193976075,1.45264064584414
"conflict_wb",625,0,3.3184,0.537478979910986,1.75,3,3.25,3.75,4.75
"conflict_all",625,0,2.55946666666667,0.59232363910897,1,2.33333333333333,2.33333333333333,3,4.33333333333333
"report_1",623,2,0.186195826645265,0.389577403387496,0,0,0,0,1
"report_2",623,2,0.828250401284109,0.377465726255282,0,1,1,1,1
"report_3",623,2,0.109149277688604,0.312076978294315,0,0,0,0,1
"report_4",623,2,0.00963081861958266,0.0977414981646828,0,0,0,0,1
"report_count",623,2,1.13322632423756,0.528819310810398,0,1,1,1,3
"minimum_ratio_original",625,0,0.665984,0.660474309754856,0,0.5,0.5,0.8,8
"desired_ratio_original",625,0,0.741536,0.382921306101746,0,0.6,0.8,1,6.5
"prevention_A",625,0,0.8544,1.21274640636608,0,0,0,2,5
"prevention_cost_1",55,570,3740.36363636364,7392.07883446527,0,150,500,4000,40000
"prevention_B",625,0,1.2672,1.13959731979417,0,0,1,2,4
"prevention_cost_2",115,510,253.521739130435,226.771751227625,0,100,200,300,1200
"prevention_C",625,0,1.5776,1.61547325764119,0,0,1,3,5
"prevention_cost_3",3,622,6666.66666666667,11547.0053837925,0,0,0,10000,20000
"prevention_D",625,0,0.2592,0.889765166368099,0,0,0,0,4
"prevention_cost_4",0,625,,,,,,,
"prevention_E",625,0,0.5504,1.11707493493338,0,0,0,0,5
"prevention_cost_5",14,611,2142.85714285714,8017.83725737273,0,0,0,0,30000
"prevention_F",625,0,0.0176,0.143258776076989,0,0,0,0,2
"prevention_cost_6",0,625,,,,,,,
"prevention_G",625,0,0.0128,0.149237377596214,0,0,0,0,3
"prevention_cost_7",0,625,,,,,,,
"prevention_n",625,0,1.9152,1.20396353978358,0,1,2,3,7
"prevention_used",625,0,0.8672,0.339630266538066,0,1,1,1,1
"prevention_eff",542,83,2.40679581795818,0.803763382976137,1,2,2.33333333333333,3,5
"prevention_eff0",625,0,2.08717333333333,1.10827847174804,0,1.5,2,3,5
"log_income",625,0,9.65526496259625,1.93035035748843,0,9.21044036697652,9.90353755128617,10.5966597327836,12.6115410869661
"log_area",625,0,2.05099737685772,0.752813554725012,0.182321556793955,1.6094379124341,1.94591014905531,2.56494935746154,4.61512051684126
"log_livestock",625,0,1.47705708536496,1.6124985926997,0,0,1.09861228866811,2.83321334405622,5.54517744447956
"log_assets",625,0,9.52137173035799,1.95016315117183,4.35290673610003,8.06741876513701,9.34760877327761,10.8691172503414,14.942946802889
"log_damage",625,0,1.01373162402385,0.659013834666581,0,0.693147180559945,0.916290731874155,1.38629436111989,3.93182563272433
"log_loss",625,0,6.76305931868432,2.34066523438858,0,6.55250788703459,7.31388683163346,8.00670084544037,13.128943679649
"tolerance3",624,1,2.08012820512821,0.59842583877869,1,1.66666666666667,2,2.33333333333333,4.33333333333333
"tolerance4",624,1,2.26241987179487,0.513214222202513,1,2,2.25,2.5,4.25
"damage_share",625,0,0.320820110807097,0.278397428907893,0,0.117647058823529,0.25,0.454545454545455,2
"loss_income_share",606,19,0.308885511659667,2.30508518832256,0,0.0225,0.0666666666666667,0.166666666666667,50.33
