"term","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",0.360785591189933,0.396113322742387,0.910814078890677,0.362755192919583
"application",-0.330760257928825,0.0871797942282383,-3.7940013607154,0.000163101641250451
"countyQingchuan",-0.106665451299456,0.132770480535881,-0.803382279471602,0.422068554333286
"np",-0.188365867249049,0.136526355980234,-1.37970332465565,0.168186450383196
"gender",-0.03082267269363,0.0907466268212065,-0.339656401271623,0.734232886458656
"education2",0.0356451283896312,0.129162424767464,0.275971347346601,0.782664081157736
"education3",-0.0195198387731505,0.137149612799965,-0.142325146784195,0.886870451324525
"education4",0.0861495916444459,0.191444666629332,0.449997344722304,0.652873149846246
"education5",0.0478973780884761,0.27935209779092,0.171458809392313,0.863920206553665
"household_size",0.0374412343482835,0.0254069866843984,1.47365899047269,0.141092249122071
"agri_share",0.381748953480351,0.118619194127863,3.21827303150327,0.00135843535735813
"log_livestock",0.0686306178102439,0.0340305390521987,2.01673613529815,0.0441632619475602
"log_assets",-0.046347676688449,0.0360030530681745,-1.28732628870908,0.198471630296735
