"term","estimate","se","low","high","p","n","clusters","left_out"
"application",-0.341281743096377,0.0779914184973174,-0.50261928451823,-0.179944201674525,0.000220608680106004,602,24,"Baoxing/Wulong"
"application",-0.315790716653014,0.0776902260069772,-0.476505193937524,-0.155076239368505,0.000478945506879576,595,24,"Baoxing/Muping"
"application",-0.330295573741389,0.0809523278740965,-0.497758222879277,-0.162832924603502,0.000460970058725138,580,24,"Baoxing/Longdong"
"application",-0.323202560803904,0.0809440179238856,-0.490648019500045,-0.155757102107762,0.000572526474577054,595,24,"Baoxing/Fengtongzhai"
"application",-0.296237072929531,0.0749550287807408,-0.451293363655989,-0.141180782203073,0.000633403922527676,588,24,"Baoxing/Qiaoqi"
"application",-0.325046502887226,0.0839342741528701,-0.498677777888559,-0.151415227885892,0.000771448927661104,578,24,"Qingchuan/Qiaozhuang"
"application",-0.28867178031734,0.0689677311712266,-0.431342402278032,-0.146001158356647,0.000354521406588032,602,24,"Qingchuan/Jianfeng"
"application",-0.311285619258648,0.0762416083159309,-0.469003402531987,-0.15356783598531,0.000457817347132171,611,24,"Qingchuan/Liangshui"
"application",-0.319704121631069,0.0767072119958432,-0.478385079500298,-0.161023163761841,0.00037055276875344,620,24,"Qingchuan/Qifo"
"application",-0.30511383189762,0.0744762694185421,-0.459179733425906,-0.151047930369333,0.000442248007195434,613,24,"Qingchuan/Dayuan"
"application",-0.315864659981027,0.0775053107398077,-0.476196610890823,-0.15553270907123,0.000466425649454112,605,24,"Qingchuan/Lean"
"application",-0.340611125181806,0.0772066421493852,-0.500325233039032,-0.18089701732458,0.000201765432315305,612,24,"Qingchuan/Haoxi"
"application",-0.334523193768333,0.0787546889931347,-0.497439680510167,-0.1716067070265,0.000303730786610574,594,24,"Qingchuan/Muyu"
"application",-0.352803249056513,0.0771829995941319,-0.512468448561885,-0.193138049551142,0.000135602732365209,592,24,"Qingchuan/Qingxi"
"application",-0.326487147297901,0.080698677497515,-0.493425080653888,-0.159549213941914,0.000502093807817494,596,24,"Qingchuan/Sanguo"
"application",-0.342864999793297,0.0774594708581079,-0.503102123682954,-0.182627875903639,0.000194501876029393,608,24,"Qingchuan/Qvhe"
"application",-0.333999441696154,0.0780790586919591,-0.49551828067363,-0.172480602718677,0.000281811070470206,603,24,"Qingchuan/Fangshi"
"application",-0.336793794407404,0.0781989844913813,-0.498560718802541,-0.175026870012267,0.000262039544973854,601,24,"Qingchuan/Qima"
"application",-0.345368928399996,0.0787858586483232,-0.508349894486249,-0.182387962313743,0.00021638348016764,588,24,"Qingchuan/Shazhou"
"application",-0.336115192436346,0.0769265733252474,-0.495249933789078,-0.176980451083614,0.000224264661330731,608,24,"Qingchuan/Guanyindian"
"application",-0.317927224547907,0.0776297717098024,-0.478516642590483,-0.157337806505331,0.000443750787906826,616,24,"Qingchuan/Yaodu"
"application",-0.314519857854059,0.0799026078482617,-0.479810995671695,-0.149228720036424,0.000658891472461464,593,24,"Qingchuan/Chaba"
"application",-0.307462071064864,0.0757708793869649,-0.464206077356852,-0.150718064772875,0.000487299805242298,606,24,"Qingchuan/Shiba"
"application",-0.344901083544651,0.0779618183325674,-0.506177392360424,-0.183624774728878,0.00019567226826363,589,24,"Qingchuan/Guanzhuang"
"application",-0.325881103079551,0.0828273691718727,-0.497222570667934,-0.154539635491169,0.000661885792421619,581,24,"Qingchuan/Zhuyuan"
