"outcome","adjustment","category","p_no_application","p_application","difference"
"tol1","unadjusted","1",0.0962697628277374,0.221455535351716,0.125185772523978
"tol1","unadjusted","2",0.684409033751584,0.683350047789218,-0.00105898596236587
"tol1","unadjusted","3",0.151259034774959,0.0685719599348426,-0.0826870748401163
"tol1","unadjusted","4",0.0636311265822058,0.0249584343330194,-0.0386726922491865
"tol1","unadjusted","5",0.00443104206351397,0.00166402259120424,-0.00276701947230973
"tol1","background","1",0.114700974899156,0.190730852484716,0.0760298775855598
"tol1","background","2",0.69198359573863,0.694651044495096,0.00266744875646658
"tol1","background","3",0.133519703728492,0.0818004251688691,-0.0517192785596227
"tol1","background","4",0.0559072186618009,0.0307502173510443,-0.0251570013107565
"tol1","background","5",0.00388850697192187,0.00206746050027472,-0.00182104647164715
"tol1","resources","1",0.112680120869074,0.19176599328277,0.079085872413696
"tol1","resources","2",0.690950843705875,0.694545139612938,0.00359429590706296
"tol1","resources","3",0.135475209828185,0.0812617836470557,-0.0542134261811294
"tol1","resources","4",0.0569525703513241,0.0304007000504638,-0.0265518703008602
"tol1","resources","5",0.00394125524554215,0.0020263834067728,-0.00191487183876935
"tol1","explanatory","1",0.126530758072984,0.177924319315738,0.0513935612427547
"tol1","explanatory","2",0.687007452856965,0.688650956763198,0.00164350390623248
"tol1","explanatory","3",0.128281600038224,0.0946155395162508,-0.0336660605219727
"tol1","explanatory","4",0.054592872906745,0.0365502799486348,-0.0180425929581102
"tol1","explanatory","5",0.00358731612508283,0.0022589044561786,-0.00132841166890423
"tol2","unadjusted","1",0.22814727295053,0.357991337466031,0.129844064515501
"tol2","unadjusted","2",0.691717179867884,0.597867444377957,-0.0938497354899275
"tol2","unadjusted","3",0.0419133734635422,0.023509478166033,-0.0184038952975092
"tol2","unadjusted","4",0.0362034374142037,0.0195606129555852,-0.0166428244586185
"tol2","unadjusted","5",0.00201873630383986,0.00107112703439427,-0.000947609269445593
"tol2","background","1",0.24188001617722,0.339188331563568,0.0973083153863481
"tol2","background","2",0.682770526910636,0.612891616588768,-0.0698789103218681
"tol2","background","3",0.0394423940543972,0.0254623552051499,-0.0139800388492472
"tol2","background","4",0.0340143221183582,0.0212907639602858,-0.0127235581580724
"tol2","background","5",0.00189274073938816,0.00116693268222778,-0.000725808057160386
"tol2","resources","1",0.235509326850657,0.346119364208028,0.110610037357371
"tol2","resources","2",0.686898652211119,0.607784699047686,-0.0791139531634328
"tol2","resources","3",0.0407600142391523,0.024665174411645,-0.0160948398275073
"tol2","resources","4",0.0348975328519146,0.0203252658796273,-0.0145722669722873
"tol2","resources","5",0.0019344738471569,0.00110549645301306,-0.000828977394143835
"tol2","explanatory","1",0.245451261029462,0.33702781568577,0.0915765546563083
"tol2","explanatory","2",0.679105859334582,0.614531731867773,-0.0645741274668091
"tol2","explanatory","3",0.0400919257464926,0.0264588455583374,-0.0136330801881552
"tol2","explanatory","4",0.0334948378491278,0.0208718580201302,-0.0126229798289976
"tol2","explanatory","5",0.00185611604033547,0.00110974886798913,-0.000746367172346345
"tol3","unadjusted","1",0.0445341478693926,0.0304224994293097,-0.0141116484400828
"tol3","unadjusted","2",0.505924275981702,0.421424179225074,-0.0845000967566286
"tol3","unadjusted","3",0.162948140383413,0.174424184031504,0.0114760436480911
"tol3","unadjusted","4",0.262675574976836,0.33860754717092,0.0759319721940847
"tol3","unadjusted","5",0.0239178607886564,0.0351215901431922,0.0112037293545357
"tol3","background","1",0.0388464666165444,0.0364679188822131,-0.00237854773433132
"tol3","background","2",0.468738323222188,0.455675883356057,-0.0130624398661306
