"term","Estimate","Std..Error","z.value","Pr...z.."
"1|2.(Intercept)",-2.3394348024091,0.765175420759346,-3.0573836259501,0.00223278320543815
"2|3.(Intercept)",1.5905223278251,0.744901080722156,2.13521280742827,0.0327436312248231
"3|4.(Intercept)",2.83957685367651,0.759724208307594,3.7376416634164,0.000185754431795631
"4|5.(Intercept)",6.09457125797105,1.23780566821179,4.92368989291804,8.49273848861662e-07
"1|2.application",0.874989502366676,0.260277465073441,3.36175666272063,0.000774483420004876
"2|3.application",0.405587887495347,0.238860645029081,1.6980105175801,0.0895057767807947
"3|4.application",0.792307098067155,0.441601077760668,1.79416930340138,0.0727861500799493
"4|5.application",-0.498152432990839,1.41781368798053,-0.351352534690495,0.725323887003355
"application",,,,
"countyQingchuan",1.31629397772788,0.273423392830412,4.81412348849133,1.47847366518143e-06
"np",0.108329749000404,0.284969701130086,0.380144796344342,0.703837934659167
"age",-0.0110886141937841,0.00947197235854958,-1.17067636750178,0.241728887930147
"gender",-0.247077118218522,0.195005483953957,-1.26702651232547,0.205145810149389
"education2",-0.230162936971327,0.279235067856221,-0.824262291761431,0.409790539522034
"education3",-0.130180934618023,0.295374758245616,-0.440731413175708,0.659407452151515
"education4",0.0686198667407723,0.408483045244142,0.167987062228641,0.866593457284952
"education5",-0.0227972790507652,0.587805556826099,-0.0387837079558431,0.969062834229429
"household_size",-0.010587228850113,0.0535127932402543,-0.197844818202256,0.843166479324825
