"replicate","direct","indirect_IC","indirect_PS","total","IC_to_Tol","PS_to_Tol","IB_to_Tol","TC_to_Tol","interaction","interaction_f2","failure"
1,-0.144001248181032,-0.0150232021647997,-0.00117877053452418,-0.160203220880356,-0.30353038502287,-0.00389226961533544,0.190040468396149,-0.0404185282729337,0.236786827768605,0.014745197444197,""
2,-0.122599101774847,0.011111116498666,0.0202914304449587,-0.0911965548312225,-0.297290506472395,0.0661416631040736,0.156972745132501,-0.0149309722685114,-0.0414275330586343,0.000494727154938084,""
3,-0.154821327865267,-0.0378150286779689,0.0382082456918847,-0.154428110851351,-0.392886091659509,0.111245341465035,0.118560213140952,0.0527717813737544,0.106698594774459,0.00328908833034226,""
4,-0.133307622543562,0.0147471349786316,0.0140419532282308,-0.104518534336699,-0.362304937796957,0.0381220189835684,0.19809537780899,0.0419017475415192,0.124048922462491,0.00451040083736886,""
5,-0.167854824655838,-0.0140021391886199,0.0273693010653447,-0.154487662779114,-0.247896329998902,0.0880756612772241,0.23670596677511,-0.00652668199589788,-0.0815790693714714,0.0018965173122415,""
6,-0.145247597574781,0.00851114852927242,0.00158284694109826,-0.13515360210441,-0.361854228241226,0.00424523033059584,0.232222143161558,0.0448600217993474,0.118131292456819,0.00427291487656815,""
7,-0.17337232430492,-0.0240877175159227,0.0340661379954823,-0.16339390382536,-0.320737893850427,0.0877580540616473,0.22437065756039,0.0189283357325864,0.0806347797127172,0.00177983595233977,""
8,-0.146497022787828,-0.0373570991828687,0.0509909168756962,-0.132863205095001,-0.318919268943106,0.166274550904643,0.172917461949111,-0.0194853498279674,-0.00922502527737167,2.19682919008327e-05,""
9,-0.152449275305339,-0.0515719142352725,0.0422850698987167,-0.161736119641895,-0.438813952193717,0.130097019223255,0.206168924280432,0.0787488186582797,0.049166988676614,0.000664074938125322,""
10,-0.163797738604017,0.0115249023800583,0.0179410841362487,-0.13433175208771,-0.381898222652494,0.0525081517042615,0.192268042321991,0.0704253495137048,0.225141813018503,0.0154845825536092,""
11,-0.163159362204488,0.00131876344111015,0.0200597423471226,-0.141780856416255,-0.357989184084713,0.0628139302593128,0.147474705418058,0.0271171993276848,0.0533538665833523,0.00083454965291566,""
12,-0.10930798519122,-0.053469106064833,0.0135017681481933,-0.149275323107859,-0.427985824869815,0.0373700609354835,0.180182657332329,0.0272359247064381,0.108952864498193,0.0030327285003978,""
13,-0.110443173372099,-0.0129925273097422,0.0152877334729417,-0.1081479672089,-0.231022087507503,0.0512092562860779,0.176633343930825,-0.111684153029714,0.0451034312450899,0.000526135086941747,""
14,-0.137198655721153,0.000348483091762519,0.0213605824197884,-0.115489590209602,-0.358974637956984,0.0625780199881557,0.202076355573512,0.0429050090866077,0.0743638906431768,0.00162745213950271,""
15,-0.151624782290643,-0.0166736195794005,0.0142238478772384,-0.154074553992805,-0.346806126337143,0.0385962949923136,0.219484462567133,0.0252507885277974,0.140571103951999,0.00560126510928632,""
16,-0.152283715136638,-0.0132171530817649,0.0213267845299391,-0.144174083688464,-0.335277163202386,0.061768588891398,0.238298348936065,0.0107371155596712,0.147019988359935,0.00642052970028146,""
