"parameter","estimate","low","high","p_centered","requested","successful","failure_rate"
"direct",-0.142375714280746,-0.1941453581561,-0.0933653264390671,0.000499750124937531,2000,2000,0
"indirect_IC",-0.0248147144260674,-0.0651627217601614,0.0194151018423292,0.245877061469265,2000,2000,0
"indirect_PS",0.0242449449234779,-0.00203938982694737,0.0493401239512532,0.0659670164917541,2000,2000,0
"total",-0.142945483783336,-0.189623792165052,-0.0828209388181234,0.000499750124937531,2000,2000,0
"IC_to_Tol",-0.364901886647823,-0.43903521084551,-0.259263466485677,0.000499750124937531,2000,2000,0
"PS_to_Tol",0.0716627767800155,-0.00577528575841289,0.149470072593215,0.0729635182408796,2000,2000,0
"IB_to_Tol",0.18580760345615,0.110828921776167,0.262316362933496,0.000499750124937531,2000,2000,0
"TC_to_Tol",0.0595725862437899,-0.0632723226170543,0.0964632763131053,0.218390804597701,2000,2000,0
"interaction",0.100452061648737,-0.0695368335917292,0.265086034097634,0.247376311844078,2000,2000,0
"interaction_f2",0.00285603843920335,7.07747944036374e-06,0.0203877715364627,0.31584207896052,2000,2000,0
"direct",-0.142375714280746,-0.193473253236042,-0.0923878925142032,2e-04,5000,4999,2e-04
"indirect_IC",-0.0248147144260674,-0.0652986399700715,0.0195289535536093,0.2484,5000,4999,2e-04
"indirect_PS",0.0242449449234779,-0.0020793209198823,0.0489773735123648,0.0624,5000,4999,2e-04
"total",-0.142945483783336,-0.194038160095021,-0.0833681432322153,2e-04,5000,4999,2e-04
"IC_to_Tol",-0.364901886647823,-0.439675122373746,-0.260346194329045,2e-04,5000,4999,2e-04
"PS_to_Tol",0.0716627767800155,-0.00581066175587503,0.14832406780952,0.07,5000,4999,2e-04
"IB_to_Tol",0.18580760345615,0.113370641924813,0.261606648604819,2e-04,5000,4999,2e-04
"TC_to_Tol",0.0595725862437899,-0.0688016257784655,0.0972508870493567,0.2234,5000,4999,2e-04
"interaction",0.100452061648737,-0.0735887869227892,0.26368692216981,0.2536,5000,4999,2e-04
"interaction_f2",0.00285603843920335,7.97181290944361e-06,0.0200582871874611,0.319,5000,4999,2e-04
