"field","label","missing","unique"
"ID","序号",0,625
"QID93_4","调查地点 - 县（市）",0,4
"...3","Q1_County",0,2
"QID93_1","调查地点 - 乡镇",0,64
"...5","Q1_Township",0,25
"QID93_2","调查地点 - 村",0,277
"...7","Q1_Village",1,175
"...8","Q3_InNP",0,2
"Q2","您的年龄是？",0,58
"...10","Q5_Age",0,58
"Q3","您的性别是？",0,2
"...12","Q4_Gender",0,2
"Q4","您的家庭常住人口为？",0,9
"...14","Q7_HouseholdPop",0,9
"Q5","您的受教育程度为？",1,5
"...16","Q6_Education",0,5
"Q6_4","收入调查 - 您的家庭年收入为（元）？",7,57
"...18","Q8_AnnualIncome",0,54
"Q6_5","收入调查 - 其中农业收入占比为（%）？",46,42
"...20","Q9_AgriProportion",0,24
"Q7_1","种植业调查（亩） - 玉米（亩）",9,41
"...22","Q10_MazieArea",0,41
"Q7_4","种植业调查（亩） - 土豆（亩）",22,24
"...24","Q10_PotatoArea",0,24
"Q7_7","种植业调查（亩） - 茶叶（亩）",5,23
"Q7_7_TEXT","种植业调查（亩） - 茶叶（亩） - Text",617,6
"...27","Q10_TeeArea",0,23
"Q7_5","种植业调查（亩） - 水果（亩）",1,10
"Q7_5_TEXT","种植业调查（亩） - 水果（亩） - Text",600,7
"...30","Q10_FruitArea",0,10
"Q7_6","种植业调查（亩） - 中药材（亩）",4,19
"Q7_6_TEXT","种植业调查（亩） - 中药材（亩） - Text",591,26
"...33","Q10_HerbArea",0,19
"Q7_8","种植业调查（亩） - 蔬菜（亩）",7,19
"Q7_8_TEXT","种植业调查（亩） - 蔬菜（亩） - Text",504,45
"...36","Q10_VegArea",0,19
"Q7_10","种植业调查（亩） - 其他",9,22
"Q7_10_TEXT","种植业调查（亩） - 其他 - Text",303,78
"...39","Q10_RapeArea",0,20
"...40","Q10_SweetPotatoArea",0,9
"...41","Q11_TotalArea",0,99
"...42","Q14_CropAsset",0,366
"Q8_1","养殖业调查 - 牛（头）",562,31
"...44","Q12_Cattle",0,32
"Q8_2","养殖业调查 - 羊（头）",603,15
"...46","Q12_Sheep",0,16
"Q8_6","养殖业调查 - 猪（头）",381,24
"...48","Q12_Pig",0,24
"Q8_3","养殖业调查 - 鸡（只）",398,28
"...50","Q12_Chicken",0,29
"Q8_7","养殖业调查 - 蜂蜜（箱）",526,26
"...52","Q12_Bee",0,27
"Q8_8","养殖业调查 - 其他",607,18
"...54","Q13_TotalLivestock",0,81
"...55","Q14_LivestockAsset",0,215
"...56","Q14_HouseholdAsset",0,496
"Q9","您对于村组及周边野生动物致害的主观感受是？",0,5
"...58","CP_A2",0,5
"Q10","您遇到了哪些物种致害？ - Selected Choice",0,8
"Q10_4_TEXT","您遇到了哪些物种致害？ - 其他 - Text",502,66
"...61","野猪",0,2
"...62","黑熊",0,2
"...63","猴子",0,2
"...64","豪猪",0,2
"...65","猪獾",0,2
"...66","麂子",0,2
"...67","盘羊",0,2
"...68","熊猫",0,2
"...69","刺猬",0,2
"...70","松鼠",0,2
"...71","兔子",0,2
"...72","鸟类",0,2
"...73","CP_A1",0,7
"Q13","您申请过野生动物致害补偿吗？（商业保险）",0,2
"...75","CE0",0,2
"Q14","野生动物致害补偿是否及时？",350,3
"...77","CE1",348,3
"Q15","对补偿金额是否满意，补偿金额为（元）？ - Selected Choice",349,3
"...79","CE2",348,3
"Q15_1_TEXT","对补偿金额是否满意，补偿金额为（元）？ - 满意 - Text",604,19
"Q15_2_TEXT","对补偿金额是否满意，补偿金额为（元）？ - 一般 - Text",584,29
"Q15_3_TEXT","对补偿金额是否满意，补偿金额为（元）？ - 不满意 - Text",428,86
"Q16_4","补偿比例 - 您能接受的最低补偿比例是（%）？",0,19
"...84","CA1",0,19
"Q16_5","补偿比例 - 你愿意出资多少钱购买保险（元/年）？",17,38
"...86","CA3",0,38
"Q16_6","补偿比例 - 出资后，您的意向补偿比例是（%）？",19,15
"...88","CA2",0,15
"Q17","出现野生动物致害事件后，您会上报至以下部门",2,15
"...90","PS1",0,4
"...91","NA",0,4
"Q18","野猪致害的主要类别包括？",2,9
"Q19","您是否经常遇到野猪致害问题？（致害发生期间）",3,4
"...94","CP_WB3",0,5
"Q20","您经常看到野猪吗？（全年）",2,5
"...96","CP_WB1",0,5
"Q21","您认为野猪致害从什么时间开始的？（年份）",6,48
"...98","CP_A3",0,24
"Q22","您认为近五年野猪致害的趋势是？",6,5
"...100","CP_WB4",0,5
"Q23","野猪致害大多发生在几月？",1,63
"...102","1月",0,2
"...103","2月",0,2
"...104","3月",0,2
"...105","4月",0,2
"...106","5月",0,2
"...107","6月",0,2
"...108","7月",0,2
"...109","8月",0,2
"...110","9月",0,2
"...111","10月",0,2
"...112","11月",0,2
"...113","12月",0,2
"...114","CP_WB2_number",0,12
"...115","CP_WB2",0,5
"Q88","野猪致害大多发生在什么时间？",4,3
"Q24_1","野猪致害受损面积为 - 玉米（亩）",18,35
"...118","MazieArea",0,34
"Q24_2","野猪致害受损面积为 - 土豆（亩）",23,10
"...120","PotatoArea",0,10
"Q24_3","野猪致害受损面积为 - 茶叶（亩）",4,9
"...122","TeeArea",0,9
"Q24_4","野猪致害受损面积为 - 水果（亩）",1,3
"Q24_4_TEXT","野猪致害受损面积为 - 水果（亩） - Text",624,1
"...125","FruitArea",0,3
"Q24_5","野猪致害受损面积为 - 中药材（亩）",1,17
"Q24_5_TEXT","野猪致害受损面积为 - 中药材（亩） - Text",610,14
"...128","HerbArea",0,16
"Q24_6","野猪致害受损面积为 - 蔬菜（亩）",3,9
"Q24_6_TEXT","野猪致害受损面积为 - 蔬菜（亩） - Text",603,12
"...131","VegArea",0,9
"Q24_7","野猪致害受损面积为 - 其他（亩）",6,15
"Q24_7_TEXT","野猪致害受损面积为 - 其他（亩） - Text",572,21
"...134","OtherArea",0,14
"...135","TC1_DamagedArea",0,50
"Q25_1","野猪致害经济损失总和为（元）？ - 玉米",0,71
"Q25_2","野猪致害经济损失总和为（元）？ - 土豆",1,18
"Q25_3","野猪致害经济损失总和为（元）？ - 茶叶",0,11
"Q25_4","野猪致害经济损失总和为（元）？ - 水果",0,4
"Q25_5","野猪致害经济损失总和为（元）？ - 中药材",0,16
"Q25_6","野猪致害经济损失总和为（元）？ - 蔬菜",0,12
"Q25_7","野猪致害经济损失总和为（元）？ - 其他",0,21
