"term","estimate","se","low","high","p","n","clusters","analysis","scale","p_BH_exploratory"
"log_loss",0.0867660870714014,0.0570887762985888,-0.0310593562163601,0.204591530359163,0.141615683571042,625,25,"application_selection","log odds",0.300933327588465
"timeliness",0.0129957361038684,0.0534805136557736,-0.0973826191054106,0.123374091313147,0.81007065586713,275,25,"applicant_timeliness","outcome units",0.860700071858826
"satisfaction",-0.0182786380766397,0.0408126959994479,-0.102511902646062,0.0659546264927827,0.658266282327983,276,25,"applicant_satisfaction","outcome units",0.746035119971714
"satisfaction",-0.0433736433052398,0.065065960848505,-0.177663186311415,0.0909158997009352,0.51137912774248,274,25,"applicant_both_experiences","outcome units",0.746035119971714
"agri_share",0.250375648693121,0.071396778795997,0.103019939631188,0.397731357755053,0.00181153823033182,624,25,"livelihood_dependence","outcome units",0.030796149915641
"damage_share",-0.170855179616903,0.0864820012714027,-0.349345257647664,0.00763489841385814,0.059805075895505,624,25,"damage_burden","outcome units",0.169447715037264
"loss_income_share",-0.00401220019234847,0.00848173957926359,-0.0215176503100941,0.0134932499253972,0.640458818691061,605,25,"income_loss_burden","outcome units",0.746035119971714
"application",1.13414340724072,0.376075123297912,0.357962501202077,1.91032431327936,0.00597781382765401,625,25,"prevention_adoption","log odds",0.0353476094539341
"prevention_eff",0.131747773172586,0.043947715175577,0.0410441470348745,0.222451399310297,0.00623781343304719,541,25,"prevention_effectiveness_users","outcome units",0.0353476094539341
"application",0.523785054592612,0.221395665380007,0.0668468592641371,0.980723249921088,0.0264077312077644,625,25,"insurance_positive_wtp","log odds",0.0897862861063989
"application",0.0815702510797327,0.104964122998425,-0.135065051399264,0.298205553558729,0.444677840718355,492,25,"insurance_positive_amount","outcome units",0.746035119971714
"application",0.00027927104636343,0.0157049660881518,-0.0321341858733901,0.0326927279661169,0.98595950125688,616,25,"minimum_ratio_validated","outcome units",0.98595950125688
"application",-0.10657085697524,0.0676511652052029,-0.246195999534718,0.033054285584238,0.128278742746231,625,25,"minimum_ratio_retain_flagged","outcome units",0.300933327588465
"application",0.0125684224050953,0.0249180508416035,-0.0388599068854642,0.0639967516956547,0.618586718464603,621,25,"desired_ratio_validated","outcome units",0.746035119971714
"application",0.0151700472510932,0.0268766730986565,-0.0403006796985706,0.0706407742007569,0.577697947021943,625,25,"desired_ratio_retain_flagged","outcome units",0.746035119971714
"report_count",0.130483363460326,0.0511423822505866,0.0249306742951092,0.236036052625542,0.0175221000762699,622,25,"reporting_contacts","outcome units",0.074468925324147
"info_count",-0.0467977790408624,0.0439495756628588,-0.137505245035599,0.043909686953874,0.297559699988858,622,25,"information_channels","outcome units",0.562057211090065
