"outcome","adjustment","specifications","min","median","max","negative_fraction"
"tol1","background",6,-0.293353291610317,-0.285929664813424,-0.284537779753604,1
"tol2","background",6,-0.258296459555991,-0.255211460041032,-0.25192842251555,1
"tol3","background",6,0.0357646053232232,0.0391788186858332,0.0494698112683326,0
"tol4","background",6,-0.149358486208858,-0.140154015846863,-0.138736140672754,1
"tolerance3","background",6,-0.296172395307589,-0.285041711486886,-0.284439618325466,1
"tolerance4","background",6,-0.235282697396808,-0.232168998595313,-0.231817905755628,1
"tol1","conflict",12,-0.251214974130296,-0.239457322548729,-0.230169208669313,1
"tol2","conflict",12,-0.256166869922759,-0.244815052907951,-0.231737731990546,1
"tol3","conflict",12,0.0769558850962527,0.0883063591374802,0.097196949480781,0
"tol4","conflict",12,-0.153497097423365,-0.143516268186744,-0.133843033530883,1
"tolerance3","conflict",12,-0.278740605421622,-0.266626906747134,-0.252899910624699,1
"tolerance4","conflict",12,-0.197130594706364,-0.189265905326293,-0.184362559555395,1
"tol1","explanatory",24,-0.17811902366503,-0.170880312096222,-0.162474224400682,1
"tol2","explanatory",24,-0.230715030350684,-0.224618965732867,-0.214418532223839,1
"tol3","explanatory",24,0.0896113902162113,0.107995183271299,0.122096132067428,0
"tol4","explanatory",24,-0.190631774771841,-0.182262976195127,-0.177632646911765,1
"tolerance3","explanatory",24,-0.260309485592029,-0.254043650490881,-0.250599047299695,1
"tolerance4","explanatory",24,-0.177021511329323,-0.17095115864786,-0.165988698562006,1
"tol1","none",6,-0.425622453614695,-0.424069982177935,-0.419642999933248,1
"tol2","none",6,-0.318060468887704,-0.308392062395252,-0.304910862254415,1
"tol3","none",6,0.20945308978077,0.215333675334551,0.226449631520317,0
"tol4","none",6,0.0237670204309308,0.0274763141097268,0.0318740381916594,0
"tolerance3","none",6,-0.259684722077729,-0.254538607239035,-0.248017678813548,1
"tolerance4","none",6,-0.126699188242459,-0.11338349651607,-0.113091241819314,1
"tol1","resources",12,-0.307308930781793,-0.300566851426736,-0.292879332131757,1
"tol2","resources",12,-0.293180185007001,-0.279884391425041,-0.264231981590821,1
"tol3","resources",12,0.0364140577453316,0.0471281063423635,0.0545507278128255,0
"tol4","resources",12,-0.18633482760387,-0.178270952155776,-0.168117399746111,1
"tolerance3","resources",12,-0.333173890623838,-0.322151341919991,-0.309180878889238,1
"tolerance4","resources",12,-0.266364257600364,-0.261086628509335,-0.25345426610713,1
