"variable","value","n"
"county","Baoxing",160
"county","Qingchuan",465
"application","0",348
"application","1",277
"np","0",520
"np","1",105
"gender","0",190
"gender","1",435
"education","1",89
"education","2",248
"education","3",221
"education","4",49
"education","5",18
"household_size","1",52
"household_size","2",160
"household_size","3",123
"household_size","4",119
"household_size","5",83
"household_size","6",72
"household_size","7",9
"household_size","8",5
"household_size","10",2
"benefit","1",171
"benefit","2",228
"benefit","3",108
"benefit","4",114
"benefit","5",4
"ic1","2",1
"ic1","3",12
"ic1","4",173
"ic1","5",439
"info_count","0",171
"info_count","1",207
"info_count","2",217
"info_count","3",22
"info_count","4",6
"info_count","5",2
"desired_ratio","0",62
"desired_ratio","0.06",1
"desired_ratio","0.3",1
"desired_ratio","0.4",1
"desired_ratio","0.5",70
"desired_ratio","0.6",46
"desired_ratio","0.7",68
"desired_ratio","0.75",1
"desired_ratio","0.8",142
"desired_ratio","0.85",1
"desired_ratio","0.9",27
"desired_ratio","1",201
"desired_ratio",,4
"timeliness","1",180
"timeliness","2",56
"timeliness","3",39
"timeliness",,350
"satisfaction","1",207
"satisfaction","2",45
"satisfaction","3",24
"satisfaction",,349
"tol1","1",94
"tol1","2",427
"tol1","3",72
"tol1","4",29
"tol1","5",2
"tol1",,1
"tol2","1",179
"tol2","2",406
"tol2","3",21
"tol2","4",18
"tol2","5",1
"tol3","1",24
"tol3","2",293
"tol3","3",105
"tol3","4",185
"tol3","5",18
"tol4","1",157
"tol4","2",240
"tol4","3",74
"tol4","4",150
"tol4","5",4
"word1","1",26
"word1","2",17
"word1","3",159
"word1","4",314
"word1","5",109
"word2","1",20
"word2","2",13
"word2","3",198
"word2","4",288
"word2","5",61
"word2",,45
"word3","1",15
"word3","2",19
"word3","3",166
"word3","4",228
"word3","5",42
"word3",,155
"word_count","1",45
"word_count","2",110
"word_count","3",470
"conflict_wb","1.75",1
"conflict_wb","2",6
"conflict_wb","2.25",10
"conflict_wb","2.5",40
"conflict_wb","2.75",74
"conflict_wb","3",95
"conflict_wb","3.25",120
"conflict_wb","3.5",114
"conflict_wb","3.75",77
"conflict_wb","4",40
"conflict_wb","4.25",25
"conflict_wb","4.5",16
"conflict_wb","4.75",7
"conflict_all","1",1
"conflict_all","1.33333333333333",6
"conflict_all","1.66666666666667",28
"conflict_all","2",112
"conflict_all","2.33333333333333",216
"conflict_all","2.66666666666667",102
"conflict_all","3",61
"conflict_all","3.33333333333333",37
"conflict_all","3.66666666666667",38
"conflict_all","4",17
"conflict_all","4.33333333333333",7
"report_1","0",507
"report_1","1",116
"report_1",,2
"report_2","0",107
"report_2","1",516
"report_2",,2
"report_3","0",555
"report_3","1",68
"report_3",,2
"report_4","0",617
"report_4","1",6
"report_4",,2
"report_count","0",28
"report_count","1",507
"report_count","2",65
"report_count","3",23
"report_count",,2
"report_contradiction","FALSE",623
"report_contradiction","TRUE",2
"minimum_ratio_flag","FALSE",616
"minimum_ratio_flag","TRUE",9
"desired_ratio_original","0",62
"desired_ratio_original","0.06",1
"desired_ratio_original","0.3",1
"desired_ratio_original","0.4",1
"desired_ratio_original","0.5",70
"desired_ratio_original","0.6",46
"desired_ratio_original","0.7",68
"desired_ratio_original","0.75",1
"desired_ratio_original","0.8",142
"desired_ratio_original","0.85",1
"desired_ratio_original","0.9",27
"desired_ratio_original","1",201
"desired_ratio_original","1.5",1
"desired_ratio_original","2",2
"desired_ratio_original","6.5",1
"desired_ratio_flag","FALSE",621
"desired_ratio_flag","TRUE",4
"prevention_A","0",377
"prevention_A","1",61
"prevention_A","2",119
"prevention_A","3",41
"prevention_A","4",23
"prevention_A","5",4
"prevention_B","0",234
"prevention_B","1",83
"prevention_B","2",232
"prevention_B","3",59
"prevention_B","4",17
"prevention_C","0",286
"prevention_C","1",27
"prevention_C","2",86
"prevention_C","3",125
"prevention_C","4",93
"prevention_C","5",8
"prevention_cost_3","0",2
"prevention_cost_3","20000",1
"prevention_cost_3",,622
"prevention_D","0",569
"prevention_D","1",8
"prevention_D","2",13
"prevention_D","3",12
"prevention_D","4",23
"prevention_cost_4",,625
"prevention_E","0",478
"prevention_E","1",35
"prevention_E","2",56
"prevention_E","3",28
"prevention_E","4",27
"prevention_E","5",1
"prevention_cost_5","0",13
"prevention_cost_5","30000",1
"prevention_cost_5",,611
"prevention_F","0",615
"prevention_F","1",9
"prevention_F","2",1
"prevention_cost_6",,625
"prevention_G","0",619
"prevention_G","1",5
"prevention_G","3",1
"prevention_cost_7",,625
"prevention_n","0",83
"prevention_n","1",144
"prevention_n","2",211
"prevention_n","3",129
"prevention_n","4",51
"prevention_n","5",3
"prevention_n","6",3
"prevention_n","7",1
"prevention_used","0",83
"prevention_used","1",542
"tolerance3","1",33
"tolerance3","1.33333333333333",53
"tolerance3","1.66666666666667",124
"tolerance3","2",182
"tolerance3","2.33333333333333",91
"tolerance3","2.66666666666667",99
"tolerance3","3",12
"tolerance3","3.33333333333333",9
"tolerance3","3.66666666666667",10
"tolerance3","4",9
"tolerance3","4.33333333333333",2
"tolerance3",,1
"tolerance4","1",7
"tolerance4","1.25",12
"tolerance4","1.5",29
"tolerance4","1.75",68
"tolerance4","2",156
"tolerance4","2.25",119
"tolerance4","2.5",115
"tolerance4","2.75",45
"tolerance4","3",43
"tolerance4","3.25",11
"tolerance4","3.5",6
"tolerance4","3.75",8
"tolerance4","4",3
"tolerance4","4.25",2
"tolerance4",,1
"damage_exceeds_area","FALSE",618
"damage_exceeds_area","TRUE",7
"partition","development",316
"partition","validation",309
