"term","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",0.500381951091062,0.393929669800628,1.27023169223153,0.204489932517303
"application",-0.269794709760936,0.086383665104577,-3.12321443451514,0.00187427286282735
"countyQingchuan",-0.292079972268265,0.131658712050536,-2.21846293131101,0.0268933682143785
"np",-0.0845425016620367,0.135325117725394,-0.624736213668722,0.532379510253264
"gender",-0.0417304379609123,0.0899646095420188,-0.463853932933724,0.642919085271299
"education2",-0.00208855780793668,0.128010390935092,-0.0163155333928766,0.986988039134963
"education3",0.00110304108143708,0.135911974391719,0.00811584914702184,0.993527233180037
"education4",0.0176628864615635,0.189882558713129,0.0930200571409414,0.925918392317446
"education5",0.00888034206053638,0.27789238646751,0.0319560466316504,0.974517631923357
"household_size",0.0335814187809507,0.025735665639745,1.30485914959546,0.192436436532365
"agri_share",0.455026271497891,0.120965568451702,3.76161809779426,0.000185211411283785
"log_livestock",0.0728028399655619,0.0337619287502905,2.15635903102649,0.0314486619316379
"log_assets",-0.0504120259832293,0.0357470524553916,-1.41024287376247,0.158981398300971
