"fold","feature","delta_MSE"
1,"application",0.00271205634320718
1,"countyQingchuan",-0.000768815035712278
1,"np",0.000213547373470468
1,"age",0.000750823259450462
1,"gender",0.000864367190060666
1,"education2",0.000101481046173457
1,"education3",0.000858985123047129
1,"education4",-0.000432103240740711
1,"education5",-4.66795442750634e-05
1,"household_size",0.00153859833046545
1,"log_income",-0.000724423313735945
1,"agri_share",0.0136895870127965
1,"log_area",-0.00112946034223745
1,"log_livestock",-0.0058715074115043
1,"log_assets",-0.000194302493034915
1,"conflict_wb",-0.000637093484718065
1,"conflict_all",0.0121037669903311
1,"log_damage",-0.00268581548638424
1,"log_loss",-0.000923723011922273
1,"ic1",0.0384915458637193
1,"word_mean",0.0265937800256747
1,"benefit",0.0228644194219107
1,"report_count",-0.00151062354487598
1,"info_count",-0.00263841036579536
1,"prevention_used",-0.00191227843056916
1,"prevention_eff0",0.00568446394146747
2,"application",0.000291638584036058
2,"countyQingchuan",0
2,"np",0
2,"age",0.00144559389226476
2,"gender",0.000984583921682125
2,"education2",0.00055600539572308
2,"education3",8.97812789351971e-05
2,"education4",-0.000144383005056725
2,"education5",1.6523957644432e-05
2,"household_size",-0.00284850367993545
2,"log_income",0.00361987029286542
2,"agri_share",0.00936858002783284
2,"log_area",0.00103693762814169
2,"log_livestock",0.00753426710448354
2,"log_assets",-0.000452869611166151
2,"conflict_wb",0.00240599582988876
2,"conflict_all",0.0142598428581762
2,"log_damage",0.00414834999862211
2,"log_loss",0.00244993522996595
2,"ic1",0.0802357044336282
2,"word_mean",0.00955800130759492
2,"benefit",0.0174723717713156
2,"report_count",-0.000147507796998991
2,"info_count",0.00248762328972385
2,"prevention_used",-9.8868718309042e-05
2,"prevention_eff0",0.0082649711591988
3,"application",-3.78993438562403e-05
3,"countyQingchuan",0.000244937595052747
3,"np",0.00125970940910717
3,"age",0.00209007967352156
3,"gender",0.000478036635858364
3,"education2",-0.000386333060755478
3,"education3",-0.000280070283704581
3,"education4",-0.000249205762435134
3,"education5",-0.000155659534353197
3,"household_size",-0.00201391946597111
3,"log_income",0.000230317791644313
3,"agri_share",-0.00343895201539859
3,"log_area",0.000496970917762601
3,"log_livestock",0.00665464558228218
3,"log_assets",-0.000481668262994356
3,"conflict_wb",0.000977948157373876
3,"conflict_all",0.0187366562930531
3,"log_damage",2.25159442654943e-05
3,"log_loss",-0.000947199475532323
3,"ic1",0.023896986457774
3,"word_mean",0.0180401425769369
3,"benefit",0.0317089104535694
3,"report_count",0.00280956993732108
3,"info_count",-0.000679923561907342
3,"prevention_used",-0.000146930055969324
3,"prevention_eff0",0.011684151579274
4,"application",0.00120237367177715
4,"countyQingchuan",0.00295786738012167
4,"np",0.00189126670860171
4,"age",0.00103574996197887
4,"gender",0.00397280592122923
4,"education2",0.000198733518965843
4,"education3",-0.00147772033542452
4,"education4",6.76219032362813e-05
4,"education5",-8.32072989353949e-05
4,"household_size",0.00101426389839423
4,"log_income",-0.00261557787506704
4,"agri_share",0.0100213535105229
4,"log_area",0.00349246134622696
4,"log_livestock",0.00459064380787036
4,"log_assets",0.00144125114510636
4,"conflict_wb",-0.000645068470432986
4,"conflict_all",-0.00218376160258988
4,"log_damage",0.00143113981369666
4,"log_loss",0.000776502572855231
4,"ic1",0.0270648104773326
4,"word_mean",0.0185017627882337
4,"benefit",0.0113427109106617
4,"report_count",0.00227638430454909
4,"info_count",-0.0011805603601941
4,"prevention_used",-0.000205447384371049
4,"prevention_eff0",0.0122177456860015
5,"application",0.0021771376097812
5,"countyQingchuan",-0.000110258211633069
5,"np",0.000422360567537422
5,"age",-0.00218126780901832
5,"gender",-0.000131769819268801
5,"education2",-1.33553159189059e-05
5,"education3",-0.000137044410882781
5,"education4",-8.34909320739374e-06
5,"education5",-4.08927186843489e-06
5,"household_size",-0.000739357513110966
5,"log_income",-0.00426642005043659
5,"agri_share",0.0083814250508131
5,"log_area",0.00134377701934661
5,"log_livestock",0.00235129703904451
5,"log_assets",0.00112693859404803
5,"conflict_wb",0.000187821001769095
5,"conflict_all",0.00467619248281143
5,"log_damage",0.000210791896266177
5,"log_loss",-0.000803393626104054
5,"ic1",0.0279935108896668
5,"word_mean",0.0189178235784905
5,"benefit",0.015499617213377
5,"report_count",-0.000815942603257058
5,"info_count",0.00134623647338906
5,"prevention_used",-0.000154768176628534
5,"prevention_eff0",0.00131596023003875
