"term","Estimate","Std..Error","z.value","Pr...z.."
"1|2.(Intercept)",-2.24711758659993,0.643176409041288,-3.49378110734729,0.000476231316066956
"2|3.(Intercept)",-0.360321808945328,0.637723336763358,-0.565012738555361,0.572065099752909
"3|4.(Intercept)",0.357134849211122,0.639212191379518,0.55871094767509,0.576359006616683
"4|5.(Intercept)",4.28449890096213,0.942324471172147,4.54673420041049,5.44847355054611e-06
"1|2.application",0.589713177128423,0.195182883989189,3.0213365284688,0.00251661487912838
"2|3.application",0.190781952399624,0.182281183702258,1.04663547012758,0.295267736098889
"3|4.application",-0.0711580511559394,0.201386110300476,-0.353341404974597,0.723832508159606
"4|5.application",0.0974605297004411,1.00679711229037,0.0968025518852827,0.92288319734324
"application",,,,
"countyQingchuan",-1.06017940356421,0.229719128985524,-4.61511154184733,3.92884251740199e-06
"np",-0.271057970228502,0.247635258586619,-1.09458552782657,0.273698258715375
"age",-0.00919953626790561,0.00798951095308168,-1.15145173740042,0.249546439561724
"gender",0.201101289620819,0.16782503774606,1.19827942434376,0.230808254023741
"education2",0.0867971185522665,0.239472121732786,0.362451870907624,0.717014383309064
"education3",-0.0145887317565836,0.255098545625683,-0.0571886120354066,0.95439494959383
"education4",0.13500210132113,0.352619666365743,0.382854713443871,0.701827491051091
"education5",0.226233781159024,0.502837520769502,0.449914280089548,0.652772250445758
"household_size",0.105494651760572,0.0458373890653393,2.30149783641021,0.0213635075400832
