"model","to","from","estimate"
"baseline","Tol","CE",-0.126825192985738
"baseline","Tol","IC",-0.361275997617202
"baseline","Tol","PS",0.0507856681540243
"baseline","Tol","TC",0.0620036495119035
"baseline","Tol","IB",0.189264874019498
"mediation","IC","CE",0.0680037986485302
"mediation","PS","CE",0.338319920227248
"mediation","Tol","CE",-0.142375714280746
"mediation","Tol","TC",0.0595725862437899
"mediation","Tol","IB",0.18580760345615
"mediation","Tol","IC",-0.364901886647823
"mediation","Tol","PS",0.0716627767800155
"extended","IC","CE",-0.0150862410957062
"extended","PS","CE",0.317520602656187
"extended","Tol","CE",-0.132878958994454
"extended","IC","Conflict",0.288349707959326
"extended","PS","Conflict",0.0782120108018903
"extended","TC","Conflict",0.327545821422826
"extended","IB","Conflict",-0.262051205467273
"extended","Tol","Conflict",-0.0955153519175031
"extended","IC","Use",0.141417184898415
"extended","Tol","Use",-0.0479395098884458
"extended","IC","Eff",-0.193009410145131
"extended","Tol","Eff",0.148542175201982
"extended","Tol","IC",-0.338956019942152
"extended","Tol","PS",0.0700927054411841
"extended","Tol","TC",0.0862643069288782
"extended","Tol","IB",0.164744195892014
"four_items","IC","CE",0.0678491157215852
"four_items","PS","CE",0.338263322500421
"four_items","Tol","CE",-0.131990130010655
"four_items","Tol","TC",0.054558773726013
"four_items","Tol","IB",0.183519098981584
"four_items","Tol","IC",-0.374184407383532
"four_items","Tol","PS",0.0816656825644009
"ic1_only","IC","CE",0.0917441902691047
"ic1_only","PS","CE",0.338322141814554
"ic1_only","Tol","CE",-0.137393307209405
"ic1_only","Tol","TC",0.0461737892525691
"ic1_only","Tol","IB",0.208107281118078
"ic1_only","Tol","IC",-0.319592201613276
"ic1_only","Tol","PS",0.0830702666212177
