"term","estimate","se","low","high","p","n","clusters","outcome","adjustment","covariance"
"application",-0.248017678813548,0.0765233012341606,-0.40595401016176,-0.0900813474653354,0.00347656546377917,624,25,"tolerance3","unadjusted","township"
"application",-0.248017678813548,0.0724042587222474,-0.390904384615027,-0.105130973012068,0.000762925483329929,624,178,"tolerance3","unadjusted","village"
"application",-0.284439618325466,0.0812689019449331,-0.452170388154703,-0.116708848496229,0.00184245062981851,624,25,"tolerance3","background","township"
"application",-0.284439618325466,0.0788708794897441,-0.440087923450538,-0.128791313200394,0.000403646091196077,624,178,"tolerance3","background","village"
"application",-0.325253448668089,0.0762484667004292,-0.482622549417448,-0.167884347918731,0.000268722735659171,624,25,"tolerance3","resources","township"
"application",-0.325253448668089,0.0804833618276497,-0.484083918675344,-0.166422978660834,7.91760109763636e-05,624,178,"tolerance3","resources","village"
"application",-0.251936269529421,0.0605911304653266,-0.376990216544225,-0.126882322514617,0.000353224913665285,622,25,"tolerance3","explanatory","township"
"application",-0.251936269529421,0.0745396208487684,-0.399037021097494,-0.104835517961348,0.000892088873753424,622,178,"tolerance3","explanatory","village"
"application",-0.113091241819314,0.0834263356255085,-0.285274735918698,0.0590922522800694,0.187852536044303,624,25,"tolerance4","unadjusted","township"
"application",-0.113091241819314,0.0778161611616813,-0.266658105464218,0.0404756218255894,0.147907523410449,624,178,"tolerance4","unadjusted","village"
"application",-0.232168998595313,0.0830519200045335,-0.403579736833116,-0.0607582603575105,0.0100342161042492,624,25,"tolerance4","background","township"
"application",-0.232168998595313,0.07686330234261,-0.383855436141618,-0.0804825610490076,0.00289683761136176,624,178,"tolerance4","background","village"
"application",-0.263714545764518,0.0825544933961522,-0.434098645940767,-0.0933304455882694,0.00389281466208053,624,25,"tolerance4","resources","township"
"application",-0.263714545764518,0.0810192564170347,-0.42360258080849,-0.103826510720546,0.00135878564166448,624,178,"tolerance4","resources","village"
"application",-0.16880904161493,0.0735567049895729,-0.320622619241006,-0.0169954639888533,0.0307817971283124,622,25,"tolerance4","explanatory","township"
"application",-0.16880904161493,0.0794490792048673,-0.325598399131771,-0.0120196840980883,0.0349958028145067,622,178,"tolerance4","explanatory","village"
