"term","estimate","se","low","high","p","n","clusters","outcome","adjustment","transform","rule","missing","clustering"
"application",-0.419642999933248,0.0923268581301253,-0.610196269627649,-0.229089730238848,0.000132022446244769,624,25,"tol1","none","log","retain","complete","township"
"application",-0.419642999933248,0.0772528484404478,-0.572098190031684,-0.267187809834812,1.82038921052126e-07,624,178,"tol1","none","log","retain","complete","village"
"application",-0.424069982177935,0.0931629215776563,-0.616348802019124,-0.231791162336745,0.000129781246746384,617,25,"tol1","none","log","exclude_extreme_loss","complete","township"
"application",-0.424069982177935,0.0781889958313329,-0.578372619086666,-0.269767345269203,1.89546470800431e-07,617,178,"tol1","none","log","exclude_extreme_loss","complete","village"
"application",-0.425622453614695,0.0925757845500874,-0.616689482189206,-0.234555425040184,0.000115553150997781,622,25,"tol1","none","log","exclude_reporting_conflict","complete","township"
"application",-0.425622453614695,0.0778716714808744,-0.579298864498773,-0.271946042730617,1.54844507795141e-07,622,178,"tol1","none","log","exclude_reporting_conflict","complete","village"
"application",-0.284537779753604,0.0813136619263092,-0.452360929644021,-0.116714629863187,0.00184573218557865,624,25,"tol1","background","log","retain","complete","township"
"application",-0.284537779753604,0.0767515205709656,-0.436003620757651,-0.133071938749558,0.000280071351483656,624,178,"tol1","background","log","retain","complete","village"
"application",-0.285929664813424,0.0817185951801596,-0.454588555864018,-0.11727077376283,0.00184713399846659,617,25,"tol1","background","log","exclude_extreme_loss","complete","township"
"application",-0.285929664813424,0.0770430451376939,-0.437970817073122,-0.133888512553726,0.000275959481424862,617,178,"tol1","background","log","exclude_extreme_loss","complete","village"
"application",-0.293353291610317,0.0809456456919994,-0.460416893324087,-0.126289689896548,0.00135397750564374,622,25,"tol1","background","log","exclude_reporting_conflict","complete","township"
"application",-0.293353291610317,0.0772503308069678,-0.445803513266831,-0.140903069953803,0.00020072106121884,622,178,"tol1","background","log","exclude_reporting_conflict","complete","village"
"application",-0.300737627187573,0.0823987295698917,-0.470800246626849,-0.130675007748297,0.00126995057107648,624,25,"tol1","resources","log","retain","complete","township"
"application",-0.300737627187573,0.079913952097559,-0.458444391462323,-0.143030862912823,0.000227885459346472,624,178,"tol1","resources","log","retain","complete","village"
"application",-0.300645975705146,0.0830721085612318,-0.47209838107608,-0.129193570334213,0.00137087717550921,617,25,"tol1","resources","log","exclude_extreme_loss","complete","township"
"application",-0.300645975705146,0.0803446976400787,-0.459202797872836,-0.142089153537457,0.000246556959325022,617,178,"tol1","resources","log","exclude_extreme_loss","complete","village"
"application",-0.307308930781793,0.0827439090617677,-0.478083965677855,-0.13653389588573,0.00108182671045726,622,25,"tol1","resources","log","exclude_reporting_conflict","complete","township"
"application",-0.307308930781793,0.0805378812505919,-0.46624699253688,-0.148370869026706,0.000187485581336942,622,178,"tol1","resources","log","exclude_reporting_conflict","complete","village"
"application",-0.292879332131757,0.0804199904753509,-0.458858034799973,-0.126900629463541,0.00129525361952577,624,25,"tol1","resources","raw","retain","complete","township"
"application",-0.292879332131757,0.0784550456346508,-0.447707006940829,-0.138051657322685,0.000254742238487581,624,178,"tol1","resources","raw","retain","complete","village"
"application",-0.295075145225975,0.0807886399270104,-0.461814702967216,-0.128335587484734,0.00126158861996965,617,25,"tol1","resources","raw","exclude_extreme_loss","complete","township"
"application",-0.295075145225975,0.0792607488005091,-0.451492840750057,-0.138657449701893,0.000264518529020699,617,178,"tol1","resources","raw","exclude_extreme_loss","complete","village"
"application",-0.300487727148325,0.0803106561375366,-0.46624077483399,-0.13473467946266,0.00100964179495695,622,25,"tol1","resources","raw","exclude_reporting_conflict","complete","township"
"application",-0.300487727148325,0.0789310914301615,-0.456254857960836,-0.144720596335814,0.00019371352601935,622,178,"tol1","resources","raw","exclude_reporting_conflict","complete","village"
"application",-0.245185388513823,0.079280663943956,-0.408812636792668,-0.0815581402349773,0.00497474856758232,624,25,"tol1","conflict","log","retain","complete","township"
"application",-0.245185388513823,0.078791307934637,-0.400676662580427,-0.0896941144472187,0.00216817287749545,624,178,"tol1","conflict","log","retain","complete","village"
"application",-0.239105835660349,0.0820513809424887,-0.408451562767145,-0.0697601085535535,0.00760377679679184,617,25,"tol1","conflict","log","exclude_extreme_loss","complete","township"
"application",-0.239105835660349,0.0790396786284688,-0.39508725866136,-0.0831244126593377,0.00285536331925494,617,178,"tol1","conflict","log","exclude_extreme_loss","complete","village"
"application",-0.251214974130296,0.0797681301349433,-0.415848303179562,-0.0865816450810289,0.00434092473495509,622,25,"tol1","conflict","log","exclude_reporting_conflict","complete","township"
"application",-0.251214974130296,0.0794361144308932,-0.407978746220571,-0.0944512020400201,0.00184107183668661,622,178,"tol1","conflict","log","exclude_reporting_conflict","complete","village"
"application",-0.232833389549335,0.0765340821008394,-0.390791971512779,-0.0748748075858916,0.00561223324582304,624,25,"tol1","conflict","raw","retain","complete","township"
"application",-0.232833389549335,0.0770934221985093,-0.384973958782495,-0.0806928203161756,0.00290045935985199,624,178,"tol1","conflict","raw","retain","complete","village"
"application",-0.230169208669313,0.0794132222946922,-0.394070043937575,-0.0662683734010514,0.00789027335712923,617,25,"tol1","conflict","raw","exclude_extreme_loss","complete","township"
"application",-0.230169208669313,0.0780628256975725,-0.384222854218949,-0.076115563119677,0.00362419911109969,617,178,"tol1","conflict","raw","exclude_extreme_loss","complete","village"
"application",-0.239808809437108,0.0766577476507826,-0.398022624551203,-0.0815949943230141,0.004566194418861,622,25,"tol1","conflict","raw","exclude_reporting_conflict","complete","township"
"application",-0.239808809437108,0.0776617352285935,-0.393070920112247,-0.0865466987619695,0.00234102787797523,622,178,"tol1","conflict","raw","exclude_reporting_conflict","complete","village"
"application",-0.172171507685942,0.0795118059382226,-0.336275809594286,-0.00806720577759723,0.0405219111809234,622,25,"tol1","explanatory","log","retain","complete","township"
"application",-0.172171507685942,0.0757700737591508,-0.321700505411231,-0.022642509960652,0.0242718871041396,622,178,"tol1","explanatory","log","retain","complete","village"
"application",-0.170475253527145,0.0792887648802087,-0.334119221316671,-0.00683128573762004,0.0418392157938043,624,25,"tol1","explanatory","log","retain","median_mode_sensitivity","township"
"application",-0.170475253527145,0.0757741096432965,-0.320012215897067,-0.0209382911572236,0.0256945542285325,624,178,"tol1","explanatory","log","retain","median_mode_sensitivity","village"
"application",-0.17200945410248,0.0817095943514897,-0.340649768355729,-0.00336913984923107,0.0459318735380555,615,25,"tol1","explanatory","log","exclude_extreme_loss","complete","township"
"application",-0.17200945410248,0.07648384556103,-0.322947049930483,-0.0210718582744772,0.0257475918588868,615,178,"tol1","explanatory","log","exclude_extreme_loss","complete","village"
"application",-0.170278889686304,0.0814615732031508,-0.338407313448243,-0.00215046592436458,0.0473600677461141,617,25,"tol1","explanatory","log","exclude_extreme_loss","median_mode_sensitivity","township"
"application",-0.170278889686304,0.0765050446560989,-0.321258321021137,-0.01929945835147,0.0272954134668617,617,178,"tol1","explanatory","log","exclude_extreme_loss","median_mode_sensitivity","village"
"application",-0.17811902366503,0.0805111981703253,-0.344285969763714,-0.0119520775663471,0.0367069635757238,620,25,"tol1","explanatory","log","exclude_reporting_conflict","complete","township"
