"partial_R2_y","partial_R2_d","bias","estimate","toward_zero"
0,0,0,-0.194640067834863,-0.194640067834863
0.01,0,0,-0.194640067834863,-0.194640067834863
0.03,0,0,-0.194640067834863,-0.194640067834863
0.05,0,0,-0.194640067834863,-0.194640067834863
0.1,0,0,-0.194640067834863,-0.194640067834863
0.2,0,0,-0.194640067834863,-0.194640067834863
0,0.01,0,-0.194640067834863,-0.194640067834863
0.01,0.01,0.0129407068742754,-0.194640067834863,-0.181699360960588
0.03,0.01,0.0224139617921008,-0.194640067834863,-0.172226106042763
0.05,0.01,0.0289363002477785,-0.194640067834863,-0.165703767587085
0.1,0.01,0.0409221082553083,-0.194640067834863,-0.153717959579555
0.2,0.01,0.0578726004955571,-0.194640067834863,-0.136767467339306
0,0.03,0,-0.194640067834863,-0.194640067834863
0.01,0.03,0.0226438545948556,-0.194640067834863,-0.171996213240008
0.03,0.03,0.0392203066374919,-0.194640067834863,-0.155419761197371
0.05,0.03,0.0506331981467181,-0.194640067834863,-0.144006869688145
0.1,0.03,0.0716061555254131,-0.194640067834863,-0.12303391230945
0.2,0.03,0.101266396293436,-0.194640067834863,-0.0933736715414271
0,0.05,0,-0.194640067834863,-0.194640067834863
0.01,0.05,0.0295392045880384,-0.194640067834863,-0.165100863246825
0.03,0.05,0.0511634031616543,-0.194640067834863,-0.143476664673209
0.05,0.05,0.0660516694601277,-0.194640067834863,-0.128588398374736
0.1,0.05,0.0934111667678973,-0.194640067834863,-0.101228901066966
0.2,0.05,0.132103338920255,-0.194640067834863,-0.0625367289146081
0,0.1,0,-0.194640067834863,-0.194640067834863
0.01,0.1,0.0429194692239442,-0.194640067834863,-0.151720598610919
0.03,0.1,0.0743387013297601,-0.194640067834863,-0.120301366505103
0.05,0.1,0.0959708507429494,-0.194640067834863,-0.098669217091914
0.1,0.1,0.135723278713163,-0.194640067834863,-0.0589167891217004
0.2,0.1,0.191941701485899,-0.194640067834863,-0.00269836634896464
0,0.2,0,-0.194640067834863,-0.194640067834863
0.01,0.2,0.0643792038359163,-0.194640067834863,-0.130260863998947
0.03,0.2,0.11150805199464,-0.194640067834863,-0.0831320158402232
0.05,0.2,0.143956276114424,-0.194640067834863,-0.0506837917204393
0.1,0.2,0.203584918069745,-0.194640067834863,0.00894485023488115
0.2,0.2,0.287912552228848,-0.194640067834863,0.0932724843939848
